"Poly_No","Coord_order","Longitude","Latitude","Hole","Group","VME_Csquare","VME_Habitat","VME_Indicator","VME_Elements"
1,"1_1",-7.225,36.025,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_2",-7.225,36.05,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_3",-7.225,36.075,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_4",-7.25,36.075,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_5",-7.275,36.075,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_6",-7.3,36.075,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_7",-7.325,36.075,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_8",-7.325,36.05,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_9",-7.325,36.025,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_10",-7.325,36,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_11",-7.325,35.975,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_12",-7.3,35.975,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_13",-7.275,35.975,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_14",-7.25,35.975,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_15",-7.225,35.975,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_16",-7.225,36,FALSE,1.1,"VME","Cold seeps","NULL",NA
1,"1_17",-7.225,36.025,FALSE,1.1,"VME","Cold seeps","NULL",NA
2,"2_1",-6.9,36.55,FALSE,2.1,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_2",-6.9,36.575,FALSE,2.1,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_3",-6.875,36.575,FALSE,2.1,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_4",-6.875,36.6,FALSE,2.1,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_5",-6.875,36.625,FALSE,2.1,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_6",-6.875,36.65,FALSE,2.1,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_7",-6.875,36.675,FALSE,2.1,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
